t,y1,y2,y3,y4,y5,y6
2022-08-05 00:00:00,40.5,51.0,40.3,50.1,37.0,50.0
2022-08-05 01:00:00,42.4,53.4,35.3,46.9,37.0,50.0
2022-08-05 02:00:00,44.9,56.9,34.7,46.6,37.1,47.0
2022-08-05 03:00:00,46.8,59.6,36.0,47.6,37.5,43.0
2022-08-05 04:00:00,47.3,60.0,40.4,49.0,39.0,39.0
2022-08-05 05:00:00,50.2,64.1,47.3,49.9,41.6,38.0
2022-08-05 06:00:00,59.8,77.9,56.5,50.8,45.1,38.0
2022-08-05 07:00:00,44.9,56.1,76.5,55.8,45.0,41.0
2022-08-05 08:00:00,39.3,48.4,71.5,55.8,46.7,43.0
2022-08-05 09:00:00,38.9,48.1,64.4,55.7,49.1,47.0
2022-08-05 10:00:00,42.4,53.2,55.5,53.8,51.6,55.0
2022-08-05 11:00:00,44.5,56.1,50.3,49.8,52.3,65.0
2022-08-05 12:00:00,44.0,55.4,45.7,44.1,52.5,78.0
2022-08-05 13:00:00,43.1,54.0,41.3,38.8,52.9,92.0
2022-08-05 14:00:00,42.4,52.8,39.4,37.6,54.0,98.0
2022-08-05 15:00:00,42.0,52.2,38.6,38.0,55.5,101.0
2022-08-05 16:00:00,42.1,52.5,40.5,41.2,56.2,97.0
2022-08-05 17:00:00,43.5,54.5,45.7,47.4,55.0,84.0
2022-08-05 18:00:00,42.1,52.5,53.3,55.7,52.8,64.0
2022-08-05 19:00:00,41.1,50.9,56.8,62.5,43.7,54.0
2022-08-05 20:00:00,37.2,45.4,57.6,60.6,43.5,48.0
2022-08-05 21:00:00,37.0,45.0,58.6,57.9,43.1,40.0
2022-08-05 22:00:00,39.0,48.0,57.6,54.5,43.0,32.0
2022-08-05 23:00:00,40.4,49.9,53.0,52.2,43.2,33.0
2022-08-06 00:00:00,42.7,53.2,46.4,50.0,43.6,37.0
2022-08-06 01:00:00,46.2,58.1,39.6,48.7,44.7,41.0
2022-08-06 02:00:00,51.5,65.8,37.2,49.7,46.2,41.0
2022-08-06 03:00:00,60.4,78.4,36.3,52.0,48.1,39.0
2022-08-06 04:00:00,69.4,91.2,40.1,56.0,50.9,36.0
2022-08-06 05:00:00,77.6,103.1,50.5,61.0,53.0,32.0
2022-08-06 06:00:00,88.0,118.0,65.1,67.0,55.0,27.0
2022-08-06 07:00:00,70.6,93.3,105.0,75.8,62.3,42.0
2022-08-06 08:00:00,63.4,83.6,97.2,69.8,64.5,59.0
2022-08-06 09:00:00,61.4,81.0,86.0,61.0,67.5,85.0
2022-08-06 10:00:00,60.6,80.1,73.1,50.2,69.6,121.0
2022-08-06 11:00:00,59.2,78.1,67.7,44.0,67.8,150.0
2022-08-06 12:00:00,57.1,75.2,64.3,38.4,64.5,182.0
2022-08-06 13:00:00,55.4,72.6,61.0,33.6,60.6,215.0
2022-08-06 14:00:00,54.7,71.6,58.4,31.8,59.7,230.0
2022-08-06 15:00:00,53.1,69.4,56.3,31.4,59.5,238.0
2022-08-06 16:00:00,51.8,67.7,57.4,35.7,59.2,234.0
2022-08-06 17:00:00,53.2,69.7,63.5,45.0,58.8,215.0
2022-08-06 18:00:00,61.3,81.5,72.7,57.9,58.3,186.0
2022-08-06 19:00:00,63.7,84.7,68.3,55.8,59.6,150.0
2022-08-06 20:00:00,67.7,90.5,75.7,64.0,58.0,124.0
2022-08-06 21:00:00,63.1,83.6,86.1,75.3,55.6,86.0
2022-08-06 22:00:00,55.9,73.0,90.9,82.8,52.0,48.0
2022-08-06 23:00:00,47.6,60.9,79.7,75.3,48.9,41.0
2022-08-07 00:00:00,42.5,53.4,60.7,61.1,45.4,44.0
2022-08-07 01:00:00,41.4,51.9,40.0,45.9,42.3,50.0
2022-08-07 02:00:00,43.7,55.0,34.1,43.2,41.9,50.0
2022-08-07 03:00:00,48.9,62.6,32.5,44.1,42.5,50.0
2022-08-07 04:00:00,57.0,74.2,32.8,45.2,45.0,51.0
2022-08-07 05:00:00,68.4,90.5,33.8,43.3,49.1,51.0
2022-08-07 06:00:00,84.5,113.4,36.1,40.6,54.7,50.0
2022-08-07 07:00:00,68.3,90.8,80.2,61.6,68.7,49.0
2022-08-07 08:00:00,54.1,71.0,75.1,57.2,66.8,63.0
2022-08-07 09:00:00,53.9,71.0,67.9,50.9,64.2,83.0
2022-08-07 10:00:00,51.7,67.7,58.5,43.0,60.2,110.0
2022-08-07 11:00:00,47.9,62.0,52.7,38.1,57.0,128.0
2022-08-07 12:00:00,45.5,58.4,47.2,33.6,53.4,147.0
2022-08-07 13:00:00,43.6,55.6,41.7,30.0,49.9,163.0
2022-08-07 14:00:00,42.1,53.4,38.8,28.8,48.7,168.0
2022-08-07 15:00:00,41.1,51.9,37.0,29.0,48.4,168.0
2022-08-07 16:00:00,40.6,51.2,38.8,34.8,48.7,156.0
2022-08-07 17:00:00,42.1,53.1,45.7,47.6,49.5,130.0
2022-08-07 18:00:00,46.4,59.2,55.8,65.1,50.8,95.0
2022-08-07 19:00:00,47.7,60.0,54.1,62.2,52.0,83.0
2022-08-07 20:00:00,47.5,59.7,64.5,69.2,51.8,67.0
2022-08-07 21:00:00,46.3,58.1,79.2,79.2,51.4,45.0
2022-08-07 22:00:00,42.8,53.1,90.9,87.2,50.7,23.0
2022-08-07 23:00:00,38.9,47.5,86.4,84.4,49.8,22.5
2022-08-08 00:00:00,38.6,47.1,75.3,77.0,48.5,22.0
2022-08-08 01:00:00,38.6,47.1,61.3,67.5,47.5,26.0
2022-08-08 02:00:00,40.8,50.3,54.0,62.5,47.4,28.0
2022-08-08 03:00:00,47.0,59.0,47.7,58.1,47.7,30.0
2022-08-08 04:00:00,56.4,72.5,46.0,55.0,49.4,32.0
2022-08-08 05:00:00,69.2,90.8,55.4,57.0,52.7,32.0
2022-08-08 06:00:00,84.3,112.2,70.5,61.2,57.2,32.0
2022-08-08 07:00:00,45.8,57.1,91.4,60.8,57.9,46.0
2022-08-08 08:00:00,40.8,49.9,82.6,58.7,56.7,51.0
2022-08-08 09:00:00,40.1,48.9,70.1,55.7,54.8,57.0
2022-08-08 10:00:00,40.4,49.3,55.0,50.9,52.2,66.0
2022-08-08 11:00:00,40.7,49.7,47.3,46.4,49.8,72.0
2022-08-08 12:00:00,40.7,49.7,41.2,41.2,47.2,77.0
2022-08-08 13:00:00,39.8,48.5,35.1,36.1,45.1,83.0
2022-08-08 14:00:00,39.0,47.4,31.6,33.8,45.9,88.0
2022-08-08 15:00:00,37.7,45.6,29.4,32.6,47.9,93.0
2022-08-08 16:00:00,36.8,44.3,30.4,35.8,49.8,90.0
2022-08-08 17:00:00,38.5,46.9,36.6,45.7,50.0,74.0
2022-08-08 18:00:00,40.4,49.6,46.0,59.8,49.7,51.0
2022-08-08 19:00:00,35.9,43.1,51.1,63.5,41.9,41.0
2022-08-08 20:00:00,34.4,41.1,50.2,60.5,40.6,43.0
2022-08-08 21:00:00,34.0,40.7,48.8,56.4,39.0,45.0
2022-08-08 22:00:00,34.0,41.0,46.1,51.1,37.1,48.0
