t,y1,y2,y3,y4,y5,y6,x1,x2,x3,x4,x5,x6,x7,x8
2022-08-05 00:00:00,20.5,31.0,383.0,30.1,17.0,30.0,25.6,82.0,22.3,0.0,1010.5,6.4,286.0,0.0
2022-08-05 01:00:00,22.4,33.4,333.0,26.9,17.0,30.0,25.1,79.0,21.3,0.0,1010.2,9.0,275.0,0.0
2022-08-05 02:00:00,24.9,36.9,327.0,26.6,17.1,27.0,24.3,81.0,20.8,0.0,1010.2,7.6,262.0,0.0
2022-08-05 03:00:00,26.8,39.6,340.0,27.6,17.5,23.0,23.9,82.0,20.6,0.0,1010.3,6.3,239.0,0.0
2022-08-05 04:00:00,27.3,40.0,384.0,29.0,19.0,19.0,23.4,85.0,20.7,0.0,1010.7,4.1,218.0,0.0
2022-08-05 05:00:00,30.2,44.1,453.0,29.9,21.6,18.0,23.0,87.0,20.7,0.0,1010.9,3.3,193.0,0.0
2022-08-05 06:00:00,39.8,57.9,545.0,30.8,25.1,18.0,23.4,87.0,21.0,0.0,1011.2,3.6,186.0,1.0
2022-08-05 07:00:00,24.9,36.1,745.0,35.8,25.0,21.0,25.2,78.0,21.2,0.0,1011.2,3.8,197.0,83.0
2022-08-05 08:00:00,19.3,28.4,695.0,35.8,26.7,23.0,26.8,71.0,21.0,0.0,1011.6,1.8,143.0,280.0
2022-08-05 09:00:00,18.9,28.1,624.0,35.7,29.1,27.0,28.1,64.0,20.7,0.0,1011.7,2.1,31.0,483.0
2022-08-05 10:00:00,22.4,33.2,535.0,33.8,31.6,35.0,29.2,57.0,19.9,0.0,1011.5,4.8,13.0,649.0
2022-08-05 11:00:00,24.5,36.1,483.0,29.8,32.3,45.0,30.1,53.0,19.4,0.0,1010.5,6.3,24.0,758.0
2022-08-05 12:00:00,24.0,35.4,437.0,24.1,32.5,58.0,31.1,44.0,17.4,0.0,1009.6,8.0,36.0,803.0
2022-08-05 13:00:00,23.1,34.0,393.0,18.8,32.9,72.0,31.7,39.0,16.1,0.0,1008.9,9.2,39.0,777.0
2022-08-05 14:00:00,22.4,32.8,374.0,17.6,34.0,78.0,31.1,47.0,18.5,0.0,1008.4,11.8,20.0,686.0
2022-08-05 15:00:00,22.0,32.2,366.0,18.0,35.5,81.0,29.7,64.0,22.2,0.0,1007.8,15.0,11.0,525.0
2022-08-05 16:00:00,22.1,32.5,385.0,21.2,36.2,77.0,29.1,68.0,22.5,0.0,1007.8,15.1,25.0,326.0
